sa2_code_2011,sa2_name,Meter count - 2010 (no.),Meter count - 2011 (no.),Meter count - 2012 (no.),Mean - 2010 (kWh),Mean - 2011 (kWh),Mean - 2012 (kWh),Lowest quintile - 2010 (kWh),Lowest quintile - 2011 (kWh),Lowest quintile - 2012 (kWh),Second quintile - 2010 (kWh),Second quintile - 2011 (kWh),Second quintile - 2012 (kWh),Third quintile - 2010 (kWh),Third quintile - 2011 (kWh),Third quintile - 2012 (kWh),Fourth quintile - 2010 (kWh),Fourth quintile - 2011 (kWh),Fourth quintile - 2012 (kWh),Highest quintile - 2010 (kWh),Highest quintile - 2011 (kWh),Highest quintile - 2012 (kWh),Median - 2010 (kWh),Median - 2011 (kWh),Median - 2012 (kWh),Predominant climate zone (d)
111021218,Morisset - Cooranbong,59,81,121,7407,7428,8292,2615,2438,1350,4465,4901,3122,6162,6525,5338,8082,9216,10762,15310,13669,20385,6165,6501,4906,5
111021219,Toronto - Awaba,59,81,99,6924,6345,7096,2745,2519,1371,4341,4484,2462,5960,5983,4943,7704,7292,8592,13524,11146,17823,5992,6057,4798,5
111021220,Wangi Wangi - Rathmines,42,72,72,5386,6224,6197,2180,2492,905,3437,3999,1766,4608,5513,3214,6127,7284,8045,10088,11503,16528,4693,5527,3154,5
111021221,West Wallsend - Barnsley - Killingworth,20,41,41,7845,7202,8485,3769,2575,1069,5551,5128,3387,7645,7029,5227,9827,9166,10197,12435,11568,20981,7450,7290,5413,5
111031222,Adamstown - Kotara,39,65,84,4488,5009,5909,1748,2134,1178,2728,3579,2181,3775,4594,3699,5022,5667,7281,8822,9073,14929,3880,4540,3420,5
111031223,Beresfield - Hexham,25,82,108,5339,6162,5509,2781,2128,884,3982,3777,1766,5358,5369,3268,6420,7292,5921,8153,11933,15393,5195,5330,2894,5
111031224,Hamilton - Broadmeadow,47,57,71,4309,5873,6114,1310,1835,1064,2879,3565,2079,3852,4985,3572,4947,5983,6459,8177,12476,16646,3690,5067,3256,5
111031225,Lambton - New Lambton,78,80,,5512,5395,,2066,1756,,3414,3246,,4579,5366,,6442,6745,,10785,9863,,4620,5392,,5
111031226,Maryland - Fletcher - Minmi,38,65,127,7122,7026,7040,2231,2486,1251,4460,4483,2917,6112,6490,5126,9409,8883,8416,12661,12789,17163,6142,6537,5043,5
111031227,Mayfield - Warabrook,66,89,116,5157,5546,4137,1493,1645,969,2632,3071,1654,3777,4446,2904,5003,6448,4799,12328,11902,10102,3734,4439,2881,5
111031228,Merewether - The Junction,37,59,59,6069,6110,5290,1863,2507,1346,4086,4651,2208,5460,6030,3120,7685,7450,4994,10682,9612,14455,5668,6182,3133,5
111031229,Newcastle - Cooks Hill,35,25,36,5065,5239,4842,1066,1937,777,2753,2791,1543,3742,3562,2506,5834,6032,5095,11930,11871,13107,3535,3650,2665,5
111031230,Newcastle Port - Kooragang,,,,,,,,,,,,,,,,,,,,,,,,,5
111031231,Shortland - Jesmond,11,35,48,5561,5784,7357,,1984,1035,,3711,2318,,5168,4058,,6331,9104,,11729,19306,5310,5158,4052,5
111031232,Stockton - Fullerton Cove,23,39,50,4674,5218,4591,1416,2398,718,2679,3580,1372,4773,4602,2289,5547,5751,4300,8324,9407,14275,4943,4699,2144,5
111031233,Wallsend - Elermore Vale,60,106,194,6178,6939,4951,1647,2056,308,3414,3939,1783,5015,5812,3339,7664,8041,5293,13151,14490,13912,4830,6012,3224,5
111031234,Waratah - North Lambton,28,30,56,4261,5027,4266,1431,1474,761,2412,3060,1366,3769,4344,2985,5261,6953,5449,7876,9303,10230,3938,4231,3251,5
111031235,Wickham - Carrington - Tighes Hill,50,41,45,3058,3662,2776,1192,1302,730,1927,2338,1234,2843,3224,1892,3860,4214,3047,5467,6833,6975,2783,3445,1926,5
112011236,Ballina,9,114,339,4756,4356,4163,,1617,1547,,2854,2702,,3775,3736,,5450,5194,,7966,7599,4218,3695,3717,2
112011237,Ballina Region,13,120,372,5492,4651,4699,,1646,1693,,3135,2938,,4064,4037,,5423,5519,,8989,9256,2901,4126,4061,2
112011238,Bangalow,6,37,77,9373,5254,6053,,957,1872,,2734,3185,,4024,5139,,7092,7233,,10840,12470,7153,3925,5182,2
112011239,Brunswick Heads - Ocean Shores,,59,124,,4322,4183,,1343,1383,,2408,2547,,3287,3564,,4422,4844,,9900,8466,,3328,3482,2
112011240,Byron Bay,5,44,110,7077,4370,4001,,1339,873,,2692,2662,,4204,3806,,5409,5216,,7868,7450,7572,4231,3717,2
112011241,Evans Head,6,47,109,5508,4245,4058,,1717,1313,,2914,2453,,3851,3674,,5045,5156,,7393,7568,5163,3848,3688,2
112011242,Lennox Head - Skennars Head,,48,149,,5323,4820,,1979,2003,,3578,3378,,4441,4377,,6138,5650,,10059,8599,,4429,4380,2
112011243,Mullumbimby,7,59,123,9056,4960,4507,,1885,1409,,3260,3027,,4438,4024,,5520,5110,,9440,8823,8095,4422,4134,2
112021244,Casino,,68,177,,4243,4127,,1578,1355,,3074,2794,,3898,3747,,4829,4944,,7620,7704,,3910,3735,2
112021245,Casino Region,,42,125,,5338,5065,,1295,1769,,3009,3290,,4656,4616,,5869,6038,,11214,9614,,4744,4556,2
112021246,Goonellabah,7,98,273,3607,4592,4357,,1555,1621,,3077,2954,,4445,3974,,5752,5184,,7970,7994,3213,4420,3977,2
112021247,Kyogle,,65,127,,4960,4598,,1152,1406,,3043,3061,,4565,4297,,5957,5606,,10082,8475,,4513,4368,2
112021248,Lismore,6,99,234,6712,5190,4522,,2147,1803,,3481,3000,,4708,3982,,5954,5400,,9506,8366,7169,4813,3974,2
112021249,Lismore Region,,119,300,,5596,5275,,1548,2002,,3535,3550,,5365,4713,,7067,6155,,10297,9957,,5468,4715,2
112031250,Kingscliff - Fingal Head,,111,188,,4542,4392,,1366,1420,,2766,2649,,4091,3649,,5253,5057,,9031,9086,,4118,3629,2
112031251,Murwillumbah,,66,130,,3992,3905,,772,1490,,2819,2679,,4016,3617,,5046,4589,,7072,7149,,4173,3630,2
